Source,Tier,Family,Primary URL,Related URLs,Owner Group,Access Mode,Legal Mode,Risk Mode,Freshness,Publish Capable,Listing Types,Best Extraction Method,MVP Phase,Notes
Address.bg,1,agency,https://address.bg/,,Realto Group,html,public_crawl_with_review,medium,hourly,yes,"sale, long_term_rent, land, new_build",crawl listings with ref-id normalization,source_first_ingestion,Core agency network with strong local branches.
alo.bg,1,classifieds,https://www.alo.bg/,,ALO.BG,html,public_crawl_with_review,medium,ten_minutes,yes,"sale, long_term_rent, short_term_rent, land, new_build",scoped HTML crawl with category filtering,source_first_ingestion,"Strong coastal inventory, especially land and new-build."
BulgarianProperties,1,agency,https://www.bulgarianproperties.bg/,https://www.bulgarianproperties.com/,Bulgarian Properties,html,public_crawl_with_review,medium,hourly,yes,"sale, long_term_rent, land, new_build",conservative crawl using stable reference IDs,source_first_ingestion,Important for new-build and foreign buyer inventory.
Homes.bg,1,portal,https://www.homes.bg/,,Jobs.bg,html,public_crawl_with_review,medium,ten_minutes,yes,"sale, long_term_rent, land",server-rendered HTML crawl,source_first_ingestion,Crawl-friendly and broad national coverage.
imot.bg,1,portal,https://www.imot.bg/,,Rezon Media,html,public_crawl_with_review,medium,ten_minutes,yes,"sale, long_term_rent, land, new_build",respectful crawl or partnership feed,source_first_ingestion,High-volume benchmark supply source.
imoti.net,1,portal,https://www.imoti.net/,,Investor Media Group,headless,legal_review_required,high,hourly,yes,"sale, long_term_rent, land, new_build","partnership first, headless as fallback",source_first_ingestion,403 and anti-bot patterns raise risk.
LUXIMMO,1,agency,https://www.luximmo.bg/,,Stoyanov Enterprises,html,public_crawl_with_review,medium,hourly,yes,"sale, long_term_rent, land, new_build",careful crawl using stable luxury listing reference IDs,source_first_ingestion,Luxury coastal segment.
OLX.bg,1,classifieds,https://www.olx.bg/,https://developer.olx.bg/,Naspers Classifieds Bulgaria / OLX,official_api,official_api_allowed,low,ten_minutes,yes,"sale, long_term_rent, land, new_build",official developer API first,source_first_ingestion,Primary API-first classifieds source.
property.bg,1,portal,https://www.property.bg/,,SUPRIMMO group,html,public_crawl_with_review,medium,hourly,yes,"sale, long_term_rent, land, new_build",targeted listing-page crawl,source_first_ingestion,Cross-check source for foreign-buyer inventory.
SUPRIMMO,1,agency,https://www.suprimmo.bg/,,Stoyanov Enterprises,html,public_crawl_with_review,medium,hourly,yes,"sale, long_term_rent, land, new_build",crawl listings and unify group reference IDs,source_first_ingestion,High-value coastal and resort inventory.
ApartmentsBulgaria.com,2,ota,https://www.apartmentsbulgaria.bg/,,Property Management BG,headless,public_crawl_with_review,medium,daily,yes,short_term_rent,direct booking integration or careful crawl,source_expansion_after_tier1,Managed resort inventory.
Bazar.bg,2,classifieds,https://bazar.bg/,,Rezon Media,html,public_crawl_with_review,medium,hourly,yes,"sale, long_term_rent, land",limited HTML crawl,source_expansion_after_tier1,Secondary but useful classifieds source.
Domaza,2,portal,https://www.domaza.bg/,,Domaza,html,public_crawl_with_review,medium,hourly,yes,"sale, long_term_rent, short_term_rent, land, new_build",crawl with language canonicalization,source_expansion_after_tier1,Needs cross-language dedupe.
Holding Group Real Estate,2,agency,https://holdinggroup.bg/,,Holding Group,html,public_crawl_with_review,medium,hourly,yes,"sale, long_term_rent, land, new_build",crawl direct site plus dedupe against portal syndication,source_expansion_after_tier1,Strong Varna-side project inventory.
Home2U,2,agency,https://home2u.bg/,,Home2U,html,public_crawl_with_review,medium,hourly,yes,"sale, long_term_rent, land, new_build",templated HTML parser,source_expansion_after_tier1,Important for Varna and project inventory.
Imoteka.bg,2,agency,https://imoteka.bg/,,Realto Group,headless,legal_review_required,high,daily,yes,"sale, long_term_rent, land, new_build",partnership/licensed feed preferred; headless only after legal clearance,source_expansion_after_tier1,JS-heavy source with higher content-use risk.
Imoti.info,2,classifieds,https://imoti.info/,,Bulinfo OOD,partner_feed,licensing_required,high,daily,yes,"sale, long_term_rent, land, new_build",licensing or partnership first; fixture-only parser research until approved,source_expansion_after_tier1,Terms indicate commercial data use requires authorization/payment.
Indomio.bg,2,portal,https://www.indomio.bg/,,Spitogatos Network,headless,public_crawl_with_review,medium,daily,yes,"sale, long_term_rent, land",hybrid HTML/headless crawler,source_expansion_after_tier1,Secondary index for coastal supply.
