Title,Description,Priority,Labels,Project,State
Set up Alembic migration runtime,"Run Alembic against a real PostgreSQL/PostGIS database and verify the initial schema applies cleanly.",1,"database backend foundation","Bulgaria Real Estate MVP","Backlog"
Complete source registry SQLAlchemy coverage,"Persist all source registry planning fields including URLs, languages, and listing types.",1,"database backend foundation","Bulgaria Real Estate MVP","Backlog"
Add repository roundtrip tests,"Cover source registry, raw captures, listings, snapshots, and canonical listings with repository tests.",1,"database qa backend","Bulgaria Real Estate MVP","Backlog"
Add tenant boundaries to CRM and publishing tables,"Introduce account-aware boundaries across users, CRM, settings, and publishing.",1,"database crm publishing","Bulgaria Real Estate MVP","Backlog"
Decide raw capture retention policy,"Define what stays in PostgreSQL versus object storage for raw HTML and payload bodies.",2,"database storage","Bulgaria Real Estate MVP","Backlog"
Implement runtime compliance evaluator,"Enforce legal mode, risk mode, access mode, and publish capability before execution.",1,"compliance backend","Bulgaria Real Estate MVP","Backlog"
Add Redis-backed rate limits and locks,"Introduce per-source concurrency and rate-limit state for the workflow runtime.",2,"backend runtime","Bulgaria Real Estate MVP","Backlog"
Add Temporal workflow skeletons,"Create workflow shells for discovery, detail fetch, enrichment, media, CRM sync, and publishing.",1,"backend runtime","Bulgaria Real Estate MVP","Backlog"
Implement Homes.bg discovery parser,"Add offline fixture-backed discovery parsing for Homes.bg search/list pages.",1,"connector backend","Bulgaria Real Estate MVP","Backlog"
Validate Homes.bg DB-backed persistence flow,"Run the Homes.bg ingest helper against a real database and verify persisted records.",1,"connector database backend","Bulgaria Real Estate MVP","Backlog"
Add alo.bg fixture parser,"Implement the next tier-1 source using the established fixture-first pattern.",2,"connector backend","Bulgaria Real Estate MVP","Backlog"
Add imot.bg fixture parser,"Implement the next tier-1 source using the established fixture-first pattern.",2,"connector backend","Bulgaria Real Estate MVP","Backlog"
Add BulgarianProperties fixture parser,"Implement the next tier-1 source using the established fixture-first pattern.",2,"connector backend","Bulgaria Real Estate MVP","Backlog"
Implement object storage adapter,"Add S3 or MinIO support for raw captures, screenshots, and media assets.",1,"storage backend media","Bulgaria Real Estate MVP","Backlog"
Implement media hashing pipeline,"Add SHA256 and perceptual hash processing for listing images.",2,"media dedupe backend","Bulgaria Real Estate MVP","Backlog"
Build property dedupe review queue,"Turn duplicate scoring into a reviewable queue with merge audit support.",1,"dedupe backend admin","Bulgaria Real Estate MVP","Backlog"
Implement address normalization and geocoder abstraction,"Prepare city, district, and resort normalization plus geocoder fallbacks.",1,"geo backend","Bulgaria Real Estate MVP","Backlog"
Add building footprint matching,"Persist building matches with confidence scores and review status.",1,"geo map backend","Bulgaria Real Estate MVP","Backlog"
Build listing search API,"Expose listing and property read APIs for filters, sorting, and detail views.",1,"backend api","Bulgaria Real Estate MVP","Backlog"
Build map viewport API,"Expose building and viewport queries for the future map UI.",1,"backend api geo map","Bulgaria Real Estate MVP","Backlog"
Build CRM thread and message APIs,"Add thread, message, assignment, reminder, and template endpoints.",1,"backend crm api","Bulgaria Real Estate MVP","Backlog"
Build publishing eligibility API,"Expose capability, profile, and publish-job endpoints with blocking reasons.",2,"backend publishing api compliance","Bulgaria Real Estate MVP","Backlog"
Create Next.js frontend app,"Replace the static shell with the planned React/Next app structure.",1,"frontend foundation","Bulgaria Real Estate MVP","Backlog"
Implement listings page,"Build infinite list, filters, sorting, and create-lead entry points.",1,"frontend listings","Bulgaria Real Estate MVP","Backlog"
Implement property detail page,"Build gallery, provenance, facts, price history, and lead actions.",1,"frontend listings","Bulgaria Real Estate MVP","Backlog"
Implement 3D map page,"Build MapLibre plus deck.gl view with clusters, pins, and building summaries.",1,"frontend map geo","Bulgaria Real Estate MVP","Backlog"
Implement CRM chat page,"Build the inbox, thread view, templates, reminders, and linked property context.",1,"frontend crm","Bulgaria Real Estate MVP","Backlog"
Implement settings and team page,"Build profile, team, API keys, channel accounts, crawler settings, and publishing settings.",2,"frontend settings","Bulgaria Real Estate MVP","Backlog"
Implement admin operator dashboard,"Build source health, parser failures, dedupe review, compliance review, and publish queue views.",1,"frontend admin backend","Bulgaria Real Estate MVP","Backlog"
Implement Booking and Airbnb publish adapters,"Use official or authorized integration routes only.",2,"publishing compliance partner-only","Bulgaria Real Estate MVP","Backlog"
Add observability and launch readiness checks,"Add logging, metrics, security checks, and pilot-ingestion readiness.",1,"qa launch backend","Bulgaria Real Estate MVP","Backlog"
